mnth.yr,op,tr100,uop,usit.cnt
Jan-13,94.75666667,22.0625,7073,6
Feb-13,95.30894737,23.4875,7091,10
Mar-13,92.9385,21.672,7157,14
Apr-13,92.02136364,18.5625,7374,15
May-13,94.50954545,18.408,7291,6
Jun-13,95.7725,18.8725,7254,7
Jul-13,104.6709091,19.955,7458,8
Aug-13,106.5727273,20.838,7515,10
Sep-13,106.2895,20.77,7734,9
Oct-13,100.5382609,20.5725,7663,11
Nov-13,93.864,20.82,7846,13
Dec-13,97.6252381,20.805,7793,12
Jan-14,94.61714286,22.146,7998,14
Feb-14,100.8173684,23.3875,8087,15
Mar-14,100.8038095,21.9825,8244,15
Apr-14,102.0690476,19.8475,8568,12
May-14,102.1771429,19.61,8577,13
Jun-14,105.7942857,20.4125,8678,14
Jul-14,103.5886364,21.6675,8754,17
Aug-14,96.53619048,22.366,8835,16
Sep-14,93.21190476,22.7025,8959,17
Oct-14,84.39695652,22.928,9129,17
Nov-14,75.78947368,22.9175,9198,18
Dec-14,59.29045455,21.9625,9423,15
Jan-15,47.219,19.944,9341,13
Feb-15,50.58421053,16.56,9451,10
Mar-15,47.82363636,12.585,9648,9
Apr-15,54.45285714,10.3025,9694,7
May-15,59.265,9.352,9479,12
Jun-15,59.81954545,9.575,9315,10
Jul-15,50.90090909,10.142,9432,10
Aug-15,42.86761905,10.505,9407,10
Sep-15,45.47952381,9.965,9453,9
Oct-15,46.22363636,9.412,9379,9
Nov-15,42.4435,9.06,9329,9
Dec-15,37.18863636,8.306,9246,9
Jan-16,31.68315789,8.315,9192,6
Feb-16,30.323,7.145,9157,5
Mar-16,37.54636364,5.355,9168,0
Apr-16,40.7552381,4.51,8947,6
May-16,46.71238095,4.235,8894,8
