"","tool","forecastMonth","monthlyModel","quarterlyModel","halfAnnualModel","annualModel","ensembleModel"
"1","A",1,1.41480177776164,1.4141323675799,1.46873882753529,1.45104674145914,1.1534578069203
"2","A",2,2.44955740834975,2.17003432687555,1.53777248400729,1.73565398944577,1.70828572307002
"3","A",3,2.60850470467661,2.17050765019159,1.76429695070566,2.68602548081774,1.7881861473875
"4","B",1,13.8000307607993,7.53853544524861,7.86889395844783,10.2311962160408,7.84819886064406
"5","B",2,10.8306595690162,8.33590935888799,8.92592760399767,11.7859141714352,8.03355329211448
"6","B",3,6.75998670932518,10.3936870084901,7.7766036305374,4.98796361741518,4.2186878878857
"7","C",1,1.2847690714247,1.58832539659372,1.30467125212838,1.72128030613221,1.17615815422772
"8","C",2,1.80419713080826,2.01772029968764,2.06608009910601,1.4882594541336,1.33489729625977
"9","C",3,1.89636993181517,1.57266747651738,1.89914267787896,1.3527156392822,1.37165018413736
